zip,ZCTA,total,rural,distance_from_shands,median_income,perc_below_poverty,prop_black,prop_hisp
13160,13160,2167,1,961.7383235,67750,9.8,0.013382557,0.070143055
49302,49302,8507,1,924.5515843,78670,6,0.004114259,0.025861056
14539,14539,225,1,942.0521142,82750,0,0,0
14224,14224,40002,0,930.6115097,59208,5.8,0.01359932,0.015624219
48822,48822,2905,1,918.2167053,77371,3.2,0.002409639,0.037177281
50577,50577,440,1,1114.398963,48750,6.5,0,0.036363636
50605,50605,147,1,1083.648614,37083,9.5,0,0.027210884
48065,48065,10745,0,909.0929843,73302,7.8,0.029222894,0.030525826
53534,53534,11465,0,982.5262463,60781,10.5,0.001395552,0.035324902
50546,50546,411,1,1137.463837,45625,26.3,0,0.0486618
14480,14480,1166,0,944.8262461,36146,50.3,0,0.01457976
48857,48857,2663,1,915.1478203,59788,10.6,0.00413068,0.009763425
48371,48371,23061,0,909.5715986,72362,7,0.006504488,0.033389706
3055,3055,15085,0,1084.325601,64453,6,0.004839244,0.030759032
3052,3052,8267,0,1091.85992,96429,4,0.00508044,0.025281239
13334,13334,1498,1,981.96312,57813,6.3,0,0
48370,48370,1880,1,909.0935145,93542,3.6,0.035638298,0.032446809
1860,1860,6536,0,1104.974764,80508,4.7,0.003977968,0.020501836
3865,3865,7614,0,1102.23712,70264,3.3,0.000394011,0.009850276
3086,3086,3825,1,1080.803795,71841,7,0.004444444,0.012287582
14102,14102,1494,1,933.1607236,97000,0.6,0,0.075635877
12166,12166,1314,1,1008.436418,52589,17,0.019025875,0.01217656
13063,13063,1901,1,975.8528127,73214,2.2,0.002630195,0.063124671
13333,13333,56,1,1000.835598,41875,28.6,0,0
52169,52169,495,1,1045.380791,42188,18,0,0.014141414
48815,48815,2304,1,923.3828213,57674,7.6,0,0.005642361
82609,82609,17287,0,1604.226416,61875,9.8,0.007635796,0.075953028
82605,82609,17287,0,1604.226416,61875,9.8,0.007635796,0.075953028
48820,48820,17321,0,917.7695306,71998,4.7,0.008429075,0.02488309
14220,14220,24525,0,930.4673771,45537,16.8,0.041712538,0.083995923
52142,52142,1662,1,1048.555894,42083,22.5,0.066787004,0.065583634
82644,82644,1549,0,1608.616245,36107,19.8,0,0.066494513
68774,68774,302,1,1227.393554,27188,13.9,0.009933775,0
53580,53580,606,1,1012.594247,49375,12.1,0,0
48062,48062,9389,0,908.7891617,55317,14.2,0.030141655,0.051443178
48462,48462,13671,1,911.4590034,77172,8.4,0.004096262,0.029990491
12148,12148,4428,1,1023.605707,95833,2.1,0.000225836,0.043812105
50581,50581,869,1,1131.971086,44464,17.4,0,0.069044879
52164,52164,201,1,1051.408884,56250,10,0,0
53813,53813,6087,0,1020.455924,48844,12,0.008707081,0.015607031
82601,82601,27857,0,1606.989555,53533,10.1,0.021000108,0.088882507
82602,82601,27857,0,1606.989555,53533,10.1,0.021000108,0.088882507
13122,13122,1136,1,977.8803357,47750,8.6,0.001760563,0
13468,13468,475,1,999.5433902,48750,18.3,0,0.033684211
50421,50421,3050,1,1102.701843,41673,5.7,0,0.077704918
3031,3031,11282,0,1087.402097,114399,2.6,0.003545471,0.027388761
48005,48005,5407,1,909.9405301,74866,3.9,0.002219345,0.016460144
82637,82637,4096,1,1586.35896,59904,8.5,0.009521484,0.079101563
1952,1952,8495,0,1110.28854,75995,8.3,0.009064155,0.008475574
50674,50674,3449,1,1058.047921,56750,10.2,0.003769208,0.004639026
12065,12065,42249,0,1026.431893,81101,5.2,0.018769675,0.03694762
13418,13418,220,1,988.2453273,47656,16.8,0,0
13439,13439,3655,1,997.2395185,46928,12.9,0.014500684,0.008481532
83204,83204,18509,0,1895.618847,42780,18.3,0.008158193,0.080555405
5301,5301,16861,0,1057.450552,50873,12.1,0.016131902,0.024375778
5303,5301,16861,0,1057.450552,50873,12.1,0.016131902,0.024375778
5302,5301,16861,0,1057.450552,50873,12.1,0.016131902,0.024375778
5344,5301,16861,0,1057.450552,50873,12.1,0.016131902,0.024375778
5304,5301,16861,0,1057.450552,50873,12.1,0.016131902,0.024375778
5357,5301,16861,0,1057.450552,50873,12.1,0.016131902,0.024375778
50554,50554,1641,1,1142.413381,42432,15.8,0.03778184,0.024984765
13061,13061,1193,1,981.4091217,59375,14,0.007544007,0.007544007
12121,12121,1739,1,1030.551865,67786,3,0.037952846,0
53565,53565,4978,1,1007.847591,57939,13.2,0.001004419,0.016271595
53521,53521,3643,1,989.4065891,81587,3.1,0,0.015097447
53508,53508,5552,1,994.4184388,74875,4.3,0.005403458,0.016030259
13484,13484,89,1,982.8184249,-,0,0,0
1913,1913,16554,0,1108.164344,76463,4.3,0.008880029,0.016249849
